Month,Years,SOFR_3M_Forward,FHLB_3M_Forward,Forward_Spread_bps
78,6.5,0.04067562184008029,0.05246934900054114,117.9372716046085
79,6.583333333333333,0.04067562184008029,0.05246934900054114,117.9372716046085
80,6.666666666666667,0.04067562184008029,0.05246934900054097,117.93727160460676
81,6.75,0.040675621840080466,0.05246934900054097,117.93727160460503
82,6.833333333333333,0.04067562184008029,0.05246934900054097,117.93727160460676
83,6.916666666666667,0.04067562184008029,0.05246934900054097,117.93727160460676
84,7.0,0.04067562184008029,0.05246934900054097,117.93727160460676
85,7.083333333333333,0.040675621840080466,0.05246934900054097,117.93727160460503
86,7.166666666666667,0.040675621840080466,0.05246934900054097,117.93727160460503
87,7.25,0.040675621840080646,0.05246934900054079,117.93727160460142
88,7.333333333333333,0.040675621840080646,0.05246934900054079,117.93727160460142
89,7.416666666666667,0.040675621840080646,0.05246934900054097,117.93727160460323
90,7.5,0.040675621840080466,0.05246934900054097,117.93727160460503
91,7.583333333333333,0.04067562184008029,0.05246934900054114,117.9372716046085
92,7.666666666666667,0.04067562184008029,0.05246934900054114,117.9372716046085
93,7.75,0.040675621840080466,0.05246934900054114,117.93727160460676
94,7.833333333333333,0.040675621840080646,0.05246934900054097,117.93727160460323
95,7.916666666666667,0.040675621840080646,0.05246934900054114,117.93727160460496
96,8.0,0.040675621840080646,0.05246934900054097,117.93727160460323
97,8.083333333333334,0.040675621840080466,0.05246934900054097,117.93727160460503
98,8.166666666666666,0.040675621840080466,0.05246934900054097,117.93727160460503
99,8.25,0.04067562184008029,0.05246934900054097,117.93727160460676
100,8.333333333333334,0.04067562184008029,0.05246934900054079,117.93727160460496
101,8.416666666666666,0.04067562184008029,0.05246934900054079,117.93727160460496
102,8.5,0.04067562184008029,0.05246934900054079,117.93727160460496
103,8.583333333333334,0.04067562184008011,0.05246934900054097,117.93727160460857
104,8.666666666666666,0.04067562184008011,0.05246934900054097,117.93727160460857
105,8.75,0.04067562184008029,0.05246934900054097,117.93727160460676
106,8.833333333333334,0.04067562184008029,0.05246934900054097,117.93727160460676
107,8.916666666666666,0.040675621840080466,0.05246934900054097,117.93727160460503
108,9.0,0.040675621840080466,0.05246934900054097,117.93727160460503
109,9.083333333333334,0.040675621840080466,0.05246934900054097,117.93727160460503
110,9.166666666666666,0.04067562184008029,0.05246934900054097,117.93727160460676
111,9.25,0.04067562184008029,0.05246934900054097,117.93727160460676
112,9.333333333333334,0.04067562184008029,0.05246934900054097,117.93727160460676
113,9.416666666666666,0.040675621840080466,0.05246934900054079,117.93727160460323
114,9.5,0.040675621840080466,0.05246934900054079,117.93727160460323
115,9.583333333333334,0.040675621840080466,0.05246934900054079,117.93727160460323
116,9.666666666666666,0.04096419105734359,0.05313559198801858,121.71400930674987
117,9.75,0.04154143253428248,0.054468625628705955,129.27193094423473
118,9.833333333333334,0.04240744935010454,0.0564689980385273,140.61548688422755
119,9.916666666666666,0.043273466165926776,0.05846937044834881,151.95904282422035
120,10.0,0.04413948298174901,0.060469742858170326,163.30259876421317
121,10.083333333333334,0.04471693058030812,0.06180387228051405,170.8694170020593
122,10.166666666666666,0.045005705919191286,0.06247121104964819,174.655051304569
123,10.25,0.045005705919191286,0.06247121104964837,174.6550513045708
124,10.333333333333334,0.045005705919191286,0.06247121104964837,174.6550513045708
125,10.416666666666666,0.045005705919191466,0.06247121104964837,174.655051304569
126,10.5,0.045005705919191466,0.06247121104964837,174.655051304569
127,10.583333333333334,0.045005705919191466,0.06247121104964837,174.655051304569
128,10.666666666666666,0.045005705919191466,0.06247121104964837,174.655051304569
129,10.75,0.045005705919191466,0.06247121104964837,174.655051304569
130,10.833333333333334,0.045005705919191286,0.06247121104964819,174.655051304569
131,10.916666666666666,0.045005705919191286,0.06247121104964819,174.655051304569
132,11.0,0.045005705919191466,0.06247121104964819,174.65505130456722
133,11.083333333333334,0.045005705919191466,0.06247121104964819,174.65505130456722
134,11.166666666666666,0.04500570591919164,0.06247121104964819,174.6550513045655
135,11.25,0.04500570591919164,0.06247121104964837,174.65505130456728
136,11.333333333333334,0.04500570591919164,0.06247121104964837,174.65505130456728
137,11.416666666666666,0.045005705919191286,0.06247121104964837,174.6550513045708
138,11.5,0.045005705919191466,0.06247121104964837,174.655051304569
139,11.583333333333334,0.045005705919191286,0.06247121104964837,174.6550513045708
140,11.666666666666666,0.045005705919191466,0.06247121104964837,174.655051304569
141,11.75,0.045005705919191466,0.06247121104964837,174.655051304569
142,11.833333333333334,0.04500570591919164,0.06247121104964837,174.65505130456728
143,11.916666666666666,0.045005705919191466,0.06247121104964855,174.6550513045708
144,12.0,0.045005705919191466,0.06247121104964855,174.6550513045708
145,12.083333333333334,0.045005705919191466,0.06247121104964837,174.655051304569
146,12.166666666666666,0.045005705919191466,0.06247121104964837,174.655051304569
147,12.25,0.045005705919191466,0.06247121104964819,174.65505130456722
148,12.333333333333334,0.045005705919191466,0.062471211049648014,174.6550513045655
149,12.416666666666666,0.045005705919191466,0.062471211049648014,174.6550513045655
150,12.5,0.045005705919191286,0.06247121104964819,174.655051304569
151,12.583333333333334,0.045005705919191286,0.06247121104964819,174.655051304569
152,12.666666666666666,0.045005705919191286,0.06247121104964837,174.6550513045708
153,12.75,0.045005705919191286,0.06247121104964837,174.6550513045708
154,12.833333333333334,0.045005705919191286,0.06247121104964837,174.6550513045708
155,12.916666666666666,0.045005705919191286,0.06247121104964819,174.655051304569
156,13.0,0.045005705919191286,0.062471211049648014,174.65505130456728
157,13.083333333333334,0.045005705919191105,0.062471211049648014,174.65505130456907
158,13.166666666666666,0.045005705919191105,0.062471211049648014,174.65505130456907
159,13.25,0.045005705919191105,0.06247121104964819,174.6550513045708
160,13.333333333333334,0.045005705919191286,0.06247121104964837,174.6550513045708
161,13.416666666666666,0.045005705919191466,0.06247121104964855,174.6550513045708
162,13.5,0.04500570591919164,0.06247121104964837,174.65505130456728
163,13.583333333333334,0.04500570591919164,0.06247121104964837,174.65505130456728
164,13.666666666666666,0.045005705919191466,0.06247121104964819,174.65505130456722
165,13.75,0.045005705919191286,0.06247121104964837,174.6550513045708
166,13.833333333333334,0.045005705919191105,0.06247121104964837,174.65505130457262
