Month,Years,Forward_Rate,MC_Mean,MC_Std,MC_P05,MC_P25,MC_P50,MC_P75,MC_P95
83,6.916666666666667,4.239616535324173,4.327052625770782,1.8854395878178405,1.2334729168547398,3.0195170502593345,4.326465163292596,5.589019970765355,7.493412220287018
84,7.0,4.344528187654113,4.43144898661614,1.8967619483437084,1.3193368720558625,3.112111517496505,4.43729835285972,5.702473883274541,7.6318918617486355
85,7.083333333333333,4.449439839984036,4.541130955969379,1.9175855257250078,1.3910975625417847,3.210062964697628,4.525206272841636,5.813038869587999,7.75832031510385
86,7.166666666666667,4.554351492313994,4.6537052824127425,1.9330070291551733,1.4673346256144988,3.3159188321968665,4.6548525248149595,5.953629747294762,7.912523585741582
87,7.25,4.554351492313994,4.711384813793528,1.9482837697190891,1.4694213516313457,3.3709358277275303,4.699391843211983,6.038634811395025,7.9659988904684145
88,7.333333333333333,4.554351492314003,4.713208396658141,1.96063340606106,1.4802507723475256,3.343242890361653,4.681389496223429,6.047766968981581,7.961627415119868
89,7.416666666666667,4.554351492313994,4.7167793742334565,1.9762267045537372,1.42756517352067,3.354847364952259,4.689914339072628,6.0588935212659125,7.967489901685044
90,7.5,4.554351492313994,4.722172777343343,1.9880881643188784,1.4564274391497294,3.3518240422153247,4.703543483415381,6.055918967729621,8.030460704767513
91,7.583333333333333,4.554351492314003,4.71906543961874,1.9989350325265582,1.4324298841169556,3.320694310271281,4.68494972684184,6.042622817901615,8.0682526397116
92,7.666666666666667,4.554351492314048,4.726332684406005,2.0097825769501187,1.446081562274364,3.3322594700138373,4.6816293321476685,6.090412435325626,8.074502897663036
93,7.75,4.5543514923139945,4.721590150900176,2.0191518240438895,1.4345052855449012,3.2899624505760756,4.678303773573981,6.072978812382961,8.061151843942083
94,7.833333333333333,4.554351492314048,4.72360360144478,2.029876912090456,1.3746920853568818,3.303226835981734,4.685336956865631,6.100491161242838,8.115442034915263
95,7.916666666666667,4.554351492314057,4.726377975733249,2.039135302112763,1.3381926620801505,3.304400604104893,4.700724759204303,6.129058680038979,8.127943929816034
96,8.0,4.554351492314048,4.725622393787987,2.049378131223672,1.3240567748729752,3.276801230606562,4.715002639140466,6.132043859630008,8.10357368330283
