Month,Years,Deterministic_Total,MC_Mean_Total,MC_P05_Stable,MC_P25,MC_P50,MC_P75,MC_P95,Analytical_Expected,Analytical_P05_Stable,Bifurcation_Total,Bifurcation_Stable,Bifurcation_NonStable
115,9.583333333333334,133547.75733399682,136356.43977796522,85126.646863281,110380.82760601932,131489.31017172625,157669.97842281725,205082.83021727478,133560.728061181,76733.25828057244,190459.30580706208,190459.30580706208,0.0
116,9.666666666666666,131343.5240137217,134136.5752549252,83357.96686432319,108306.7900364018,129333.32046460913,155416.68553625495,202696.17226432217,131356.51873664095,75050.34167115386,188652.26019398816,188652.26019398816,0.0
117,9.75,129177.90562560012,131955.80468650383,81518.60659012667,106235.48942963842,127073.06516365128,152950.72512290732,200370.14243246563,129190.92170498142,73406.0049610716,186856.3249990183,186856.3249990183,0.0
118,9.833333333333334,127023.52140835494,129796.87882757303,79858.32047544232,104287.96015810932,124855.32471306744,150542.1845677975,197720.18456159104,127036.55267021329,71784.27109586167,185064.79301203392,185064.79301203392,0.0
119,9.916666666666666,124878.25018190237,127643.1440508189,78219.75296982825,102249.7917825126,122698.89504441353,148170.5686629202,195166.31783386238,124891.29006031236,70183.72933114215,183271.28753928829,183271.28753928829,0.0
120,10.0,122742.55414205664,125496.82684681554,76421.21611258601,100323.69478180162,120557.30048317606,145912.3102061177,192601.47721622567,122755.59642243749,68604.16954527557,181476.36094156894,181476.36094156894,0.0
121,10.083333333333334,120616.04588068447,123357.8132946858,74752.99683094569,98411.54374577095,118502.77572037888,143629.43864923128,189717.92410439928,120629.08501013559,67045.06642129373,179680.55726559277,179680.55726559277,0.0
122,10.166666666666666,118502.71721656487,121231.29636008575,73223.50538664994,96552.727096766,116434.05161029895,141281.1595978904,187121.06625511788,118515.7481191998,65508.452173314,177890.8090933553,177890.8090933553,0.0
123,10.25,116429.5467037707,119133.76670720945,71600.59911958869,94637.84796660572,114262.59468958594,139017.6830537685,184737.13474511862,116442.56699479619,64009.742715752174,176113.7102318644,176113.7102318644,0.0
124,10.333333333333334,114398.46728761533,117077.65788163438,70044.34100559556,92778.57068449025,112310.30384334957,136759.93660795595,182270.62656954664,114411.4750819757,62549.45594739054,174355.52178891332,174355.52178891332,0.0
125,10.416666666666666,112408.49166163386,115061.27950536009,68449.94450152994,90921.93359063522,110352.35152821368,134459.01446786447,179368.00600364097,112421.48511878717,61126.50332380031,172616.02640277112,172616.02640277112,0.0
126,10.5,110458.65902306388,113085.77782057223,67090.03461422132,89227.62273434484,108293.68199341648,132350.96592247352,176844.28270231542,110471.6363458722,59739.82991369227,170895.00944202146,170895.00944202146,0.0
127,10.583333333333334,108548.03426777212,111149.51288945106,65747.17879133995,87539.07833244884,106375.00219993059,130300.74435862756,174254.742662417,108560.99370358276,58388.41328584726,169192.25896780926,169192.25896780926,0.0
128,10.666666666666666,106675.70721254451,109250.44136666949,64240.98022475597,85864.33898705788,104516.21512194182,128259.76779660532,171784.34302883322,106688.64705973126,57071.26243659279,167507.56569666305,167507.56569666305,0.0
129,10.75,104840.79184370958,107389.73119082596,62878.656072356585,84172.92531412549,102653.2376676604,126407.89175037065,169505.2355209914,104853.71044662502,55787.416745576076,165840.7229638838,165840.7229638838,0.0
130,10.833333333333334,103042.42559110775,105566.11493662087,61481.97106964157,82541.90724338181,100849.2872335813,124415.49941102293,166916.1549069974,103055.32133798493,54535.94497558242,164191.52668749023,164191.52668749023,0.0
131,10.916666666666666,101279.7686264594,103778.82284653072,60126.26889117322,80917.98271868407,99075.3309371921,122461.16285380174,164743.68196675717,101292.6399504147,53315.94430723447,162559.77533271216,162559.77533271216,0.0
132,11.0,99552.00318522411,102025.6875294549,58793.63989305245,79303.69155778484,97328.7836877311,120454.411850435,162209.1965214928,99564.84856407343,52126.53940500788,160945.26987702158,160945.26987702158,0.0
133,11.083333333333334,97858.33291107968,100306.15137269607,57599.84189029484,77817.17194626332,95637.57027594454,118532.34058241785,160360.21552727197,97871.1508639377,50966.881514630855,159347.8137756933,159347.8137756933,0.0
134,11.166666666666666,96197.9822221856,98620.32566441462,56462.919717110984,76266.88923852374,93931.9236010119,116657.30263301887,158167.7364318065,96210.77131142058,49836.14759624068,157767.21292788634,157767.21292788634,0.0
135,11.25,94570.19569842942,96966.91201498763,55361.18523862667,74837.45980294135,92326.34322694648,114845.84381005482,155852.1291224975,94582.95452851654,48733.539483233224,156203.27564323661,156203.27564323661,0.0
136,11.333333333333334,92974.23748888653,95345.9740562893,54105.68826830451,73375.47589269554,90710.22967779421,113117.51472758775,153500.53037329897,92986.96470385182,47658.2830711003,154655.81260895365,154655.81260895365,0.0
137,11.416666666666666,91409.39073875523,93755.71800673881,53079.57297186089,72047.75188986679,89148.26998322517,111341.34965678398,151526.9470497488,91422.08501956989,46609.627535008745,153124.63685741165,153124.63685741165,0.0
138,11.5,89874.95703505835,92195.25057931001,52057.864506875536,70651.51307778049,87597.96152838663,109644.89855270616,149489.44474682442,89887.61711117697,45586.84458159766,151609.56373422785,151609.56373422785,0.0
139,11.583333333333334,88370.25587043077,90665.23835747952,50991.05659630972,69339.89263622511,86171.69804480401,107962.81341915364,147644.76686478834,88382.88050366503,44589.227705499514,150110.41086681944,150110.41086681944,0.0
140,11.666666666666666,86894.62412433993,89165.23503216749,49917.02400552707,68024.08501608323,84716.31062546776,106245.8859143506,145728.07778388244,86907.21211541556,43616.09149670906,148626.99813343142,148626.99813343142,0.0
141,11.75,85447.41556111135,87693.06996542818,48789.383671475014,66716.70436908692,83242.89023323261,104635.17897719506,143593.82950927544,85459.96574452461,42666.77095462517,147159.1476326274,147159.1476326274,0.0
142,11.833333333333334,84028.00034415704,86248.01286736205,47796.90334309903,65438.48540245011,81859.89509727653,102883.84032328638,141399.55406851578,84040.51158962394,41740.62083472061,145706.68365323608,145706.68365323608,0.0
143,11.916666666666666,82635.76456582746,84829.911877256,46731.13258805769,64192.523568410616,80410.25489010465,101284.34967841722,139405.91933530237,82648.23577910516,40837.01501404582,144269.4326447458,144269.4326447458,0.0
144,12.0,81270.10979233088,83437.35322852839,45725.72848480936,63004.81980352157,78975.93448025387,99621.3652760059,137359.89727490785,81282.53991897195,39955.34588020061,142847.22318813938,142847.22318813938,0.0
145,12.083333333333334,79930.45262318585,82071.53407732236,44809.83178262224,61863.223580476464,77590.69142035811,98073.64571063759,135643.11270612924,79942.84064026987,39095.09897819612,141439.88596716287,141439.88596716287,0.0
146,12.166666666666666,78616.22426469262,80730.79879382423,43830.12282382207,60685.08031473874,76264.72988107645,96539.42698495445,133838.54104729265,78628.56918329925,38255.696659356756,140047.2537400203,140047.2537400203,0.0
147,12.25,77326.87011693018,79415.87442501301,42928.59874612106,59598.480194118114,74951.2302506641,94986.25491007927,132123.96784831153,77339.17098168767,37436.57833448857,138669.16131148807,138669.16131148807,0.0
148,12.333333333333334,76061.84937380401,78126.24861286521,42098.11733394775,58451.457103542605,73737.82939647522,93638.00653471681,130169.10823111828,76074.1052623846,36637.199929220005,137305.4455054419,137305.4455054419,0.0
