Month,Years,SOFR_DF,FHLB_DF
167,13.916666666666666,0.4617173195747904,0.24108542881833195
168,14.0,0.45831832555002194,0.2366370356873116
169,14.083333333333334,0.45494435367601677,0.23227072218070113
170,14.166666666666666,0.4515952197488533,0.2279849738044924
171,14.25,0.44827074092065183,0.2237783040093967
172,14.333333333333334,0.4449707356895918,0.21964925367522276
173,14.416666666666666,0.44169502389000287,0.21559639060476787
174,14.5,0.43844342668252817,0.21161830902704748
175,14.583333333333334,0.43521576654436106,0.20771362910969157
176,14.666666666666666,0.43201186725955276,0.203880996480338
177,14.75,0.4288315539093917,0.2001190817568557
178,14.833333333333334,0.4256746528628541,0.19642658008623784
179,14.916666666666666,0.42254099176712423,0.19280221069200187
180,15.0,0.4194303995381846,0.18924471642994037
181,15.083333333333334,0.4163427063514758,0.18575286335207059
182,15.166666666666666,0.41327774363262476,0.1823254402786282
183,15.25,0.4102353440482411,0.17896125837795895
184,15.333333333333334,0.40721534149678185,0.17565915075416239
185,15.416666666666666,0.40421757109948275,0.17241797204234366
186,15.5,0.4012418691913567,0.1692365980113333
187,15.583333333333334,0.39828807331225835,0.1661139251737386
188,15.666666666666666,0.39535602219801463,0.16304887040318883
189,15.75,0.39244555577162016,0.16004037055864315
190,15.833333333333334,0.38955651513449807,0.15708738211563153
191,15.916666666666666,0.3866887425578246,0.15418888080429888
192,16.0,0.3838420814739179,0.15134386125412766
193,16.083333333333332,0.3810163764676902,0.14855133664521708
194,16.166666666666668,0.3782114732681627,0.1458103383659953
195,16.25,0.3754272187400431,0.14311991567724872
196,16.333333333333332,0.3726634608753652,0.1404791353823491
197,16.416666666666668,0.3699200487851897,0.13788708150356646
198,16.5,0.36719683269136666,0.13534285496435447
199,16.583333333333332,0.364493663918358,0.1328455732774974
200,16.666666666666668,0.36181039488512046,0.1303943702390118
201,16.75,0.3591468790970488,0.12798839562769662
202,16.833333333333332,0.3565029711379769,0.1256268149102258
203,16.916666666666668,0.3538785266622399,0.12330880895168343
204,17.0,0.35127340238679244,0.12103357373143998
205,17.083333333333332,0.3486874560833868,0.11880032006427005
206,17.166666666666668,0.3461205465708075,0.11660827332661694
207,17.25,0.34357253370716356,0.11445667318790786
208,17.333333333333332,0.3410432783822374,0.11234477334682626
209,17.416666666666668,0.3385326425098897,0.11027184127245086
210,17.5,0.33604048902052125,0.10823715795017108
211,17.583333333333332,0.33356668185358873,0.10624001763229016
212,17.666666666666668,0.33111108595017674,0.1042797275932306
213,17.75,0.3286735672456247,0.10235560788925652
214,17.833333333333332,0.32625399266220634,0.10046699112262862
